Rank,Name,Score
1,PTEN,48630.89976220136
2,CDC42,45966.057682080565
3,UBC,42825.38401527379
4,EP300,42604.45534539053
5,JUN,40847.59770307295
6,MAPT,32227.868627277276
7,SNAP25,29343.610773598673
8,CAV1,25164.12218155168
9,CYCS,24858.586629398433
10,APP,24697.807167399278
11,SNCA,19967.20428810688
12,BDNF,18247.38333109484
13,CCT7,16110.633092633803
14,SOX9,12583.500542511612
15,IGF1,12112.504426312009
16,PSMD4,11966.344109238282
17,VAPA,11746.050360371262
18,EIF2S1,11018.782698274474
19,CALM1,10938.869147129417
20,PKM,10886.030224886626
21,GNB5,10622.611232590922
22,CARM1,10370.71052470737
23,ITPR1,10204.41241505078
24,NHP2,10076.846087934931
25,PRMT1,10037.98042891224
26,RBFOX1,9238.511691775557
27,RAF1,9103.143462965485
28,ARRB1,9005.155214152697
29,PEBP1,8585.196229624416
30,NTRK2,8538.627294591168
31,ACO2,8165.375076480155
32,ATP6V1A,8097.542965596353
33,PSMD7,8013.113942732143
34,MAP2K1,7965.162091736905
35,POLR2C,7915.928061067117
36,XRCC6,7831.588751460224
37,COL1A1,7814.057136229827
38,HDAC2,7678.243364648037
39,MFN2,7630.372015746644
40,ABL1,7567.373188361812
41,ATP5B,7339.4256719937885
42,NME1,7211.495307640754
43,PPIG,7024.67496033448
44,MYO1C,6926.606402723428
45,ENO2,6867.609737949477
46,MT2A,6859.799725412796
47,STAT5A,6731.266594597877
48,DVL1,6549.411410717682
49,ATOX1,6546.013608255203
50,KARS,6429.979425301859
51,PPA1,6424.777019113689
52,COPS5,6416.712028946782
53,WDR12,6367.729229405672
54,CHD4,6216.04781796637
55,ATP5C1,6210.496981696202
56,KPNA2,6169.460822530172
57,THY1,6109.705227958125
58,EPB41,6081.930122622702
59,CXCR4,6010.4117483654145
60,ADK,5935.9549130628075
61,HIST1H2AC,5872.478922752367
62,MEF2C,5842.704322250602
63,TUBA4A,5837.006849296122
64,PPP1CB,5835.700712244296
65,TAGLN3,5661.918707561166
66,TOP1,5647.873841966046
67,CASP7,5585.805968823053
68,HSP90B1,5481.491891430208
69,SF3B1,5451.753090590654
70,APOD,5440.589811481391
71,RPS7,5405.334289217593
72,MAPK10,5368.712831880136
73,CSNK1D,5336.406732841669
74,RBM25,5306.618962972366
75,PFDN5,5303.636237743675
76,JAK2,5287.101219180892
77,WDR37,5249.374198206455
78,CDK7,5201.73953945188
79,CDC40,5195.0345002834965
80,IQGAP1,5114.307170957393
81,IMMT,5038.594610132182
82,TNFRSF1A,5031.25097923313
83,PUM1,4883.511781360544
84,PRKDC,4879.055781952042
85,NDUFA4,4841.2145568238975
86,AMPH,4733.354711548877
87,TLN1,4727.117990333886
88,PI4K2A,4708.124990444371
89,DDX24,4690.9790793963975
90,GOT2,4649.792410874827
91,CUX1,4645.171992274791
92,PRKCZ,4621.438210546132
93,GJA1,4553.443554192769
94,GNG3,4534.830303942681
95,A2M,4492.90804139388
96,WDR82,4477.609231383806
97,DNMT3B,4465.510930419761
98,GABARAPL2,4406.190801401519
99,HSD17B4,4405.016872081821
100,FAU,4378.084386056598
